STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA_Name,NatWalkInd,STATE,COUNTY,TRACT
13,313,501,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.333333333,13,313,000501
13,313,600,1,"Chattanooga-Cleveland-Dalton, TN-GA",6.666666667,13,313,000600
13,313,101,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.833333333,13,313,000101
13,313,102,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,313,000102
13,313,102,3,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,313,000102
13,313,1200,1,"Chattanooga-Cleveland-Dalton, TN-GA",4,13,313,001200
13,313,800,4,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,313,000800
13,313,700,3,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,313,000700
13,313,1200,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,313,001200
13,313,1100,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.166666667,13,313,001100
13,313,400,4,"Chattanooga-Cleveland-Dalton, TN-GA",8.166666667,13,313,000400
13,313,400,5,"Chattanooga-Cleveland-Dalton, TN-GA",6.166666667,13,313,000400
13,313,1500,4,"Chattanooga-Cleveland-Dalton, TN-GA",2.166666667,13,313,001500
13,313,101,2,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,313,000101
13,313,200,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.833333333,13,313,000200
13,313,302,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,313,000302
13,313,1200,5,"Chattanooga-Cleveland-Dalton, TN-GA",3.833333333,13,313,001200
13,313,301,3,"Chattanooga-Cleveland-Dalton, TN-GA",5.666666667,13,313,000301
13,313,1500,5,"Chattanooga-Cleveland-Dalton, TN-GA",3,13,313,001500
13,313,1400,2,"Chattanooga-Cleveland-Dalton, TN-GA",8.333333333,13,313,001400
13,313,102,1,"Chattanooga-Cleveland-Dalton, TN-GA",5.666666667,13,313,000102
13,313,1500,1,"Chattanooga-Cleveland-Dalton, TN-GA",7,13,313,001500
13,313,800,3,"Chattanooga-Cleveland-Dalton, TN-GA",4,13,313,000800
13,313,400,1,"Chattanooga-Cleveland-Dalton, TN-GA",8,13,313,000400
13,313,200,3,"Chattanooga-Cleveland-Dalton, TN-GA",4.833333333,13,313,000200
13,313,700,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,313,000700
13,313,101,3,"Chattanooga-Cleveland-Dalton, TN-GA",2,13,313,000101
13,313,1000,3,"Chattanooga-Cleveland-Dalton, TN-GA",10.16666667,13,313,001000
13,313,301,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.333333333,13,313,000301
13,129,970900,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,129,970900
13,129,970300,3,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,129,970300
13,129,970100,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.666666667,13,129,970100
13,129,970200,4,"Chattanooga-Cleveland-Dalton, TN-GA",3.5,13,129,970200
13,129,970700,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,129,970700
13,129,970200,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,129,970200
13,129,970200,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.833333333,13,129,970200
13,129,970800,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.166666667,13,129,970800
13,129,970700,3,"Chattanooga-Cleveland-Dalton, TN-GA",3.166666667,13,129,970700
13,129,970800,2,"Chattanooga-Cleveland-Dalton, TN-GA",8,13,129,970800
13,129,970300,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,129,970300
13,129,970300,2,"Chattanooga-Cleveland-Dalton, TN-GA",8.666666667,13,129,970300
13,129,970100,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.333333333,13,129,970100
13,129,970400,2,"Chattanooga-Cleveland-Dalton, TN-GA",6.5,13,129,970400
13,129,970500,1,"Chattanooga-Cleveland-Dalton, TN-GA",8.833333333,13,129,970500
13,129,970600,1,"Chattanooga-Cleveland-Dalton, TN-GA",9.5,13,129,970600
13,129,970500,2,"Chattanooga-Cleveland-Dalton, TN-GA",9.833333333,13,129,970500
13,129,970800,3,"Chattanooga-Cleveland-Dalton, TN-GA",3.833333333,13,129,970800
13,55,10400,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,055,010400
13,129,970400,3,"Chattanooga-Cleveland-Dalton, TN-GA",9.833333333,13,129,970400
13,55,10100,2,"Chattanooga-Cleveland-Dalton, TN-GA",1.833333333,13,055,010100
13,55,10400,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.5,13,055,010400
13,55,10200,3,"Chattanooga-Cleveland-Dalton, TN-GA",3.333333333,13,055,010200
13,55,10200,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,055,010200
13,55,10300,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.833333333,13,055,010300
13,55,10200,4,"Chattanooga-Cleveland-Dalton, TN-GA",3,13,055,010200
13,55,10600,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,055,010600
13,55,10500,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,055,010500
13,55,10100,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.5,13,055,010100
13,55,10300,3,"Chattanooga-Cleveland-Dalton, TN-GA",4,13,055,010300
13,55,10500,4,"Chattanooga-Cleveland-Dalton, TN-GA",6.5,13,055,010500
13,55,10600,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.833333333,13,055,010600
13,55,10200,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.5,13,055,010200
13,55,10200,5,"Chattanooga-Cleveland-Dalton, TN-GA",6.333333333,13,055,010200
13,55,10300,2,"Chattanooga-Cleveland-Dalton, TN-GA",2.833333333,13,055,010300
13,47,30402,1,"Chattanooga-Cleveland-Dalton, TN-GA",7.833333333,13,047,030402
13,55,10400,3,"Chattanooga-Cleveland-Dalton, TN-GA",9.166666667,13,055,010400
13,55,10400,4,"Chattanooga-Cleveland-Dalton, TN-GA",9.833333333,13,055,010400
13,55,10500,5,"Chattanooga-Cleveland-Dalton, TN-GA",7.666666667,13,055,010500
13,55,10500,3,"Chattanooga-Cleveland-Dalton, TN-GA",10.33333333,13,055,010500
13,47,30700,3,"Chattanooga-Cleveland-Dalton, TN-GA",10.66666667,13,047,030700
13,47,30402,4,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,047,030402
13,47,30600,4,"Chattanooga-Cleveland-Dalton, TN-GA",7.333333333,13,047,030600
13,47,30401,1,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,047,030401
13,47,30700,5,"Chattanooga-Cleveland-Dalton, TN-GA",3.5,13,047,030700
13,47,30401,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.333333333,13,047,030401
13,47,30201,2,"Chattanooga-Cleveland-Dalton, TN-GA",8,13,047,030201
13,47,30100,1,"Chattanooga-Cleveland-Dalton, TN-GA",4,13,047,030100
13,47,30600,2,"Chattanooga-Cleveland-Dalton, TN-GA",6,13,047,030600
13,47,30700,2,"Chattanooga-Cleveland-Dalton, TN-GA",8.166666667,13,047,030700
13,47,30402,2,"Chattanooga-Cleveland-Dalton, TN-GA",7.5,13,047,030402
13,47,30500,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,047,030500
13,47,30500,3,"Chattanooga-Cleveland-Dalton, TN-GA",5.666666667,13,047,030500
13,47,30700,1,"Chattanooga-Cleveland-Dalton, TN-GA",9,13,047,030700
13,47,30401,3,"Chattanooga-Cleveland-Dalton, TN-GA",8.666666667,13,047,030401
13,47,30500,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,047,030500
13,47,30402,3,"Chattanooga-Cleveland-Dalton, TN-GA",3.333333333,13,047,030402
13,47,30600,1,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,047,030600
13,47,30600,5,"Chattanooga-Cleveland-Dalton, TN-GA",4.833333333,13,047,030600
13,47,30600,3,"Chattanooga-Cleveland-Dalton, TN-GA",6.5,13,047,030600
13,295,20902,1,"Chattanooga-Cleveland-Dalton, TN-GA",3,13,295,020902
13,295,20400,1,"Chattanooga-Cleveland-Dalton, TN-GA",7,13,295,020400
13,295,20400,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,295,020400
13,295,20601,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,295,020601
13,295,20700,1,"Chattanooga-Cleveland-Dalton, TN-GA",8.333333333,13,295,020700
13,295,20700,2,"Chattanooga-Cleveland-Dalton, TN-GA",10,13,295,020700
13,295,20700,3,"Chattanooga-Cleveland-Dalton, TN-GA",11.5,13,295,020700
13,295,20700,4,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,295,020700
13,295,20700,5,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,295,020700
13,295,20400,3,"Chattanooga-Cleveland-Dalton, TN-GA",2.166666667,13,295,020400
13,295,20502,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.166666667,13,295,020502
13,295,20602,2,"Chattanooga-Cleveland-Dalton, TN-GA",7.166666667,13,295,020602
13,295,20901,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.833333333,13,295,020901
13,295,20902,2,"Chattanooga-Cleveland-Dalton, TN-GA",1.166666667,13,295,020902
13,83,40102,1,"Chattanooga-Cleveland-Dalton, TN-GA",9,13,083,040102
13,295,20100,6,"Chattanooga-Cleveland-Dalton, TN-GA",5.666666667,13,295,020100
13,295,20901,4,"Chattanooga-Cleveland-Dalton, TN-GA",3.5,13,295,020901
13,295,20800,2,"Chattanooga-Cleveland-Dalton, TN-GA",2,13,295,020800
13,295,20800,3,"Chattanooga-Cleveland-Dalton, TN-GA",1.5,13,295,020800
13,295,20601,3,"Chattanooga-Cleveland-Dalton, TN-GA",6.833333333,13,295,020601
13,295,20301,4,"Chattanooga-Cleveland-Dalton, TN-GA",5,13,295,020301
13,295,20800,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.166666667,13,295,020800
13,295,20901,2,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,295,020901
13,295,20302,3,"Chattanooga-Cleveland-Dalton, TN-GA",3,13,295,020302
13,295,20602,1,"Chattanooga-Cleveland-Dalton, TN-GA",4,13,295,020602
13,295,20100,4,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,295,020100
13,295,20601,1,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,295,020601
13,295,20302,5,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,295,020302
13,295,20301,3,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,295,020301
13,295,20901,3,"Chattanooga-Cleveland-Dalton, TN-GA",2.5,13,295,020901
13,295,20100,3,"Chattanooga-Cleveland-Dalton, TN-GA",8.5,13,295,020100
13,295,20501,2,"Chattanooga-Cleveland-Dalton, TN-GA",6.666666667,13,295,020501
13,295,20502,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.166666667,13,295,020502
13,213,10201,1,"Chattanooga-Cleveland-Dalton, TN-GA",3,13,213,010201
13,47,30100,2,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,047,030100
13,47,30301,1,"Chattanooga-Cleveland-Dalton, TN-GA",7.333333333,13,047,030301
13,47,30303,1,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,047,030303
13,47,30301,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,047,030301
13,47,30700,4,"Chattanooga-Cleveland-Dalton, TN-GA",11.5,13,047,030700
13,313,1500,3,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,313,001500
13,313,400,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,313,000400
13,313,1200,4,"Chattanooga-Cleveland-Dalton, TN-GA",3.666666667,13,313,001200
13,313,302,4,"Chattanooga-Cleveland-Dalton, TN-GA",7.5,13,313,000302
13,313,900,3,"Chattanooga-Cleveland-Dalton, TN-GA",8.833333333,13,313,000900
13,47,30202,3,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,047,030202
13,47,30100,4,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,047,030100
13,47,30100,3,"Chattanooga-Cleveland-Dalton, TN-GA",2.5,13,047,030100
13,47,30202,2,"Chattanooga-Cleveland-Dalton, TN-GA",3.5,13,047,030202
13,47,30202,1,"Chattanooga-Cleveland-Dalton, TN-GA",6.5,13,047,030202
13,47,30301,3,"Chattanooga-Cleveland-Dalton, TN-GA",7.333333333,13,047,030301
